bond_pair,ortalama,abs_ortalama,adet,target_column
Al-Al,-4.3627027019962264e-07,4.427700038620244e-07,26,xe_uptake_mmol_g
Al-C,-3.2048112685526455e-07,3.444330925538329e-07,438,xe_uptake_mmol_g
Al-H,-2.780359679341102e-07,2.978134306742712e-07,260,xe_uptake_mmol_g
Al-O,-2.631950507647751e-07,2.6635737850562036e-07,374,xe_uptake_mmol_g
C-C,-2.0009256008691263e-07,2.263321797501401e-07,37785,xe_uptake_mmol_g
C-Cd,-9.653653735458182e-08,1.033180677599291e-07,274,xe_uptake_mmol_g
C-Cl,-1.6945812857067195e-07,1.7329276537017673e-07,670,xe_uptake_mmol_g
C-Co,-3.164669459901901e-07,3.843387521726526e-07,7186,xe_uptake_mmol_g
C-Cr,-1.9789273207235294e-07,2.1879703264610038e-07,476,xe_uptake_mmol_g
C-Cu,-1.3292868977816252e-07,1.5259661054879224e-07,2646,xe_uptake_mmol_g
C-Er,-1.6410356763008196e-07,1.6789484730629633e-07,692,xe_uptake_mmol_g
C-Eu,-1.8535462442097836e-07,1.9711236021578988e-07,594,xe_uptake_mmol_g
C-F,-1.5340197701735587e-07,1.6026052331837253e-07,1041,xe_uptake_mmol_g
C-Fe,-1.0991934605707342e-07,1.1786810138106762e-07,808,xe_uptake_mmol_g
C-H,-1.8553265254876587e-07,2.0407282376659573e-07,34132,xe_uptake_mmol_g
C-Ho,-1.4446630393913354e-07,1.4763205322358127e-07,2067,xe_uptake_mmol_g
C-Li,-1.7315669519599665e-07,1.747514066538992e-07,272,xe_uptake_mmol_g
C-Mg,-5.985209485153201e-08,6.02603878653667e-08,208,xe_uptake_mmol_g
C-N,-2.0366900576583906e-07,2.14209978614205e-07,7924,xe_uptake_mmol_g
C-Nd,-4.6827358515535554e-08,4.873761291071091e-08,178,xe_uptake_mmol_g
C-Ni,-7.733061471810514e-08,1.2405776660450045e-07,778,xe_uptake_mmol_g
C-O,-1.352728066595324e-07,1.5199825489307634e-07,76840,xe_uptake_mmol_g
C-P,-7.831968315831656e-08,1.4204910558876587e-07,1232,xe_uptake_mmol_g
C-Pr,-3.867038293956116e-08,4.832782143654196e-08,478,xe_uptake_mmol_g
C-S,-1.2793860047964765e-07,1.2963105540216827e-07,232,xe_uptake_mmol_g
C-Sm,-6.120250069684208e-08,6.132846005572438e-08,84,xe_uptake_mmol_g
C-Sr,-6.089346326528429e-08,9.076814423219031e-08,54,xe_uptake_mmol_g
C-Tb,-1.8212702568842795e-07,1.8384367049601461e-07,626,xe_uptake_mmol_g
C-U,-2.5131385469836834e-07,2.5646750041554764e-07,262,xe_uptake_mmol_g
C-Y,-7.893447901857534e-08,8.05207009892076e-08,101,xe_uptake_mmol_g
C-Zn,-2.0394964454017422e-07,2.5699125243739444e-07,1434,xe_uptake_mmol_g
Cd-Cd,-1.193211874787418e-07,1.1932118747874183e-07,12,xe_uptake_mmol_g
Cd-H,-4.0749930045865234e-08,4.287006922644856e-08,74,xe_uptake_mmol_g
Cd-O,-9.442297670389048e-08,9.58538947586305e-08,240,xe_uptake_mmol_g
Cl-Cl,-6.20569187205098e-08,6.653676798650899e-08,167,xe_uptake_mmol_g
Cl-Fe,-9.507881622680823e-08,1.22676400824405e-07,372,xe_uptake_mmol_g
Cl-O,-1.5432329691378223e-07,1.6596417954222764e-07,1597,xe_uptake_mmol_g
Co-Co,-4.7268300546897235e-07,5.42417884126907e-07,772,xe_uptake_mmol_g
Co-H,-1.430999827332369e-07,1.6586069994268861e-07,1871,xe_uptake_mmol_g
Co-N,-2.9008819062178727e-07,3.563936077626947e-07,211,xe_uptake_mmol_g
Co-O,-3.285714874426812e-07,3.948024914887967e-07,5613,xe_uptake_mmol_g
Co-P,-2.747291609317415e-07,4.1769561636913227e-07,204,xe_uptake_mmol_g
Cr-Cr,-2.5086017514813337e-07,2.5086017514813337e-07,26,xe_uptake_mmol_g
Cr-H,-2.0394099883902074e-07,2.3297067822751016e-07,456,xe_uptake_mmol_g
Cr-N,-2.1132509977931823e-07,2.1165932788675604e-07,44,xe_uptake_mmol_g
Cr-O,-2.709211176094729e-07,2.7314320388012917e-07,390,xe_uptake_mmol_g
Cr-Zn,-3.1807719063081664e-07,3.1807719063081664e-07,16,xe_uptake_mmol_g
Cu-Cu,4.881679488276027e-10,4.727655280295117e-08,228,xe_uptake_mmol_g
Cu-H,-1.4398955097804924e-07,1.6350777530436857e-07,1010,xe_uptake_mmol_g
Cu-N,-5.483383504359867e-07,5.483383504359866e-07,212,xe_uptake_mmol_g
Cu-O,-7.688416432549246e-08,9.768794133371473e-08,1764,xe_uptake_mmol_g
Er-Er,-2.3431566036982562e-08,2.709883402838316e-08,38,xe_uptake_mmol_g
Er-H,-1.1080120234062159e-07,1.1202564267380945e-07,556,xe_uptake_mmol_g
Er-O,-1.335502659683757e-07,1.3828153875878295e-07,1212,xe_uptake_mmol_g
Eu-Eu,2.565233050093267e-08,2.5652330500932677e-08,54,xe_uptake_mmol_g
Eu-H,-8.733964771203656e-08,8.765857497839912e-08,117,xe_uptake_mmol_g
Eu-N,-2.3045389390676427e-07,2.49138299264957e-07,270,xe_uptake_mmol_g
Eu-O,-1.4152571120110865e-07,1.489165265295987e-07,540,xe_uptake_mmol_g
F-F,-1.5151934451668274e-07,1.5962495071767334e-07,305,xe_uptake_mmol_g
F-Fe,-5.56006928411722e-08,5.761391120054398e-08,146,xe_uptake_mmol_g
F-H,-3.744623525565593e-08,5.849643659239234e-08,250,xe_uptake_mmol_g
F-Li,-1.2332191727650953e-07,1.275921225570738e-07,174,xe_uptake_mmol_g
F-N,-1.597470955542559e-07,1.680762309921113e-07,1184,xe_uptake_mmol_g
F-O,-1.2681193720866865e-07,1.30847320337332e-07,44,xe_uptake_mmol_g
Fe-Fe,-2.1733416786529533e-08,3.249161633840878e-08,180,xe_uptake_mmol_g
Fe-H,-8.255610017256794e-08,8.734456574188869e-08,341,xe_uptake_mmol_g
Fe-N,-6.801304208310277e-08,7.752255935518381e-08,401,xe_uptake_mmol_g
Fe-O,-8.143240530067708e-08,8.748444132823374e-08,1689,xe_uptake_mmol_g
H-H,-2.8788234873645614e-09,4.792852032573692e-08,11281,xe_uptake_mmol_g
H-Mg,-4.072339856194259e-08,4.229113445296318e-08,309,xe_uptake_mmol_g
H-N,-2.582721337231338e-07,2.6477344650593036e-07,5507,xe_uptake_mmol_g
H-Ni,-1.402113532369985e-07,1.5790947763929647e-07,133,xe_uptake_mmol_g
H-O,-1.0627237402050179e-07,1.1397079570460688e-07,26637,xe_uptake_mmol_g
H-P,-1.1104698900389569e-07,1.1823509017960809e-07,382,xe_uptake_mmol_g
H-Pr,-3.877438950575555e-08,3.96364428239463e-08,194,xe_uptake_mmol_g
H-S,-2.1598236115356085e-07,2.1741368218236175e-07,179,xe_uptake_mmol_g
H-Sm,-2.1503607673300083e-08,2.268073308678287e-08,68,xe_uptake_mmol_g
H-Sr,-2.6127059078662724e-08,3.752093347184203e-08,42,xe_uptake_mmol_g
H-Tb,-7.072370600074847e-08,7.111153497209082e-08,536,xe_uptake_mmol_g
H-U,-1.1410519825303774e-07,1.3025716572132345e-07,124,xe_uptake_mmol_g
H-Y,-6.52265870930682e-08,6.707987016815472e-08,113,xe_uptake_mmol_g
H-Zn,-2.427154543340797e-07,2.8966553546993825e-07,685,xe_uptake_mmol_g
Ho-Ho,-1.0251908842613285e-08,1.4372767065360335e-08,156,xe_uptake_mmol_g
