mesafe_bin_A,ortalama,abs_ortalama,adet,target_column
0.5,-3.0013504967677877e-07,3.1093881837148806e-07,2346,xe_uptake_mmol_g
1.0,-2.162309303628143e-07,2.407927767179721e-07,10244,xe_uptake_mmol_g
1.5,-2.4502951621283567e-07,2.771320904519628e-07,5514,xe_uptake_mmol_g
2.0,-3.762035888273381e-07,4.0884453945087876e-07,22170,xe_uptake_mmol_g
2.5,-2.9695687100626477e-07,3.212743396056736e-07,22976,xe_uptake_mmol_g
3.0,-2.4365540380077764e-07,2.649960256726194e-07,27000,xe_uptake_mmol_g
3.5,-2.1325912545243465e-07,2.2904316961195298e-07,26888,xe_uptake_mmol_g
4.0,-1.6475593165703942e-07,1.7971500292333955e-07,39152,xe_uptake_mmol_g
4.5,-1.365496622227691e-07,1.4954688058144566e-07,44021,xe_uptake_mmol_g
5.0,-7.452718621706474e-08,8.335107573615215e-08,31111,xe_uptake_mmol_g
5.5,-5.329618554454435e-09,2.059274248788632e-08,26796,xe_uptake_mmol_g
6.0,2.1015158597867377e-08,2.433944807792759e-08,23167,xe_uptake_mmol_g
6.5,7.105921858285357e-09,8.801610588786028e-09,18194,xe_uptake_mmol_g
7.0,1.8724819851172952e-09,2.3486469362527736e-09,10885,xe_uptake_mmol_g
7.5,1.2392468329479141e-09,1.2519400181868172e-09,5111,xe_uptake_mmol_g
0.5,-2.1579390171718035e-07,2.355433487699337e-07,2346,kr_uptake_mmol_g
1.0,-1.9221622069360665e-07,2.3563025864423855e-07,10244,kr_uptake_mmol_g
1.5,-2.0923210347047702e-07,2.6435556896339646e-07,5514,kr_uptake_mmol_g
2.0,-3.166347845096961e-07,3.873697378993385e-07,22170,kr_uptake_mmol_g
2.5,-2.5112509006247395e-07,2.9793317603419403e-07,22976,kr_uptake_mmol_g
3.0,-2.0609731693736735e-07,2.496174581326816e-07,27000,kr_uptake_mmol_g
3.5,-1.824409025762315e-07,2.101220204554997e-07,26888,kr_uptake_mmol_g
4.0,-1.4421920232976088e-07,1.6919153759969513e-07,39152,kr_uptake_mmol_g
4.5,-1.248958390291081e-07,1.4609909821064015e-07,44021,kr_uptake_mmol_g
5.0,-6.467882646221288e-08,7.730715156088032e-08,31111,kr_uptake_mmol_g
5.5,-5.065715675258156e-09,1.9935299005759284e-08,26796,kr_uptake_mmol_g
6.0,1.8698380490955555e-08,2.3065689943398486e-08,23167,kr_uptake_mmol_g
6.5,6.612884941552059e-09,8.554386397329152e-09,18194,kr_uptake_mmol_g
7.0,1.6473150155432623e-09,2.15113165706043e-09,10885,kr_uptake_mmol_g
7.5,1.0324181212222056e-09,1.0799661837134831e-09,5111,kr_uptake_mmol_g
0.5,-1.5393801091066973e-07,3.320010190309416e-07,2346,xe_kr_selectivity
1.0,-5.383691253898012e-07,5.996914300516668e-07,10244,xe_kr_selectivity
1.5,-4.689655804900299e-07,5.850321453202414e-07,5514,xe_kr_selectivity
2.0,-6.204011327258095e-07,8.513977839663765e-07,22170,xe_kr_selectivity
2.5,-3.732308209804434e-07,6.085693234387299e-07,22976,xe_kr_selectivity
3.0,-3.630220857691137e-07,5.243179969666891e-07,27000,xe_kr_selectivity
3.5,-2.613849120538949e-07,3.8174774715900986e-07,26888,xe_kr_selectivity
4.0,-2.3545588726650664e-07,3.484235599417569e-07,39152,xe_kr_selectivity
4.5,-1.9045676863850355e-07,2.818653319355076e-07,44021,xe_kr_selectivity
5.0,-1.070198840627438e-07,1.603160959476731e-07,31111,xe_kr_selectivity
5.5,-1.2281131741218155e-08,4.171376869734525e-08,26796,xe_kr_selectivity
6.0,3.707193241426704e-08,5.0267713075407745e-08,23167,xe_kr_selectivity
6.5,9.03660150766519e-09,1.9459099802444505e-08,18194,xe_kr_selectivity
7.0,-6.911875262697815e-09,7.772224450962568e-09,10885,xe_kr_selectivity
7.5,-1.138596122578508e-09,2.7253285816769065e-09,5111,xe_kr_selectivity
0.5,-1.4747204745310643e-07,1.7221856909996745e-07,2346,i2_uptake_mmol_g
1.0,-2.079547321597327e-07,2.469284091889024e-07,10244,i2_uptake_mmol_g
1.5,-2.479040614272764e-07,2.885433083354872e-07,5514,i2_uptake_mmol_g
2.0,-3.7497961998135075e-07,4.2954472153501316e-07,22170,i2_uptake_mmol_g
2.5,-2.778492571929369e-07,3.170113849933479e-07,22976,i2_uptake_mmol_g
3.0,-2.2595530359436654e-07,2.613536566018059e-07,27000,i2_uptake_mmol_g
3.5,-1.6377414221513444e-07,1.9500662759047815e-07,26888,i2_uptake_mmol_g
4.0,-1.398291707327205e-07,1.6852839145680884e-07,39152,i2_uptake_mmol_g
4.5,-1.240688460726972e-07,1.4615172994045472e-07,44021,i2_uptake_mmol_g
5.0,-5.534256440563188e-08,7.1442530577449e-08,31111,i2_uptake_mmol_g
5.5,3.8291596012447424e-10,2.0865392062099682e-08,26796,i2_uptake_mmol_g
6.0,2.0677616518099592e-08,2.4297052364301276e-08,23167,i2_uptake_mmol_g
6.5,6.5124863796216175e-09,8.574339908387e-09,18194,i2_uptake_mmol_g
7.0,7.759924309063865e-10,2.0404406513365645e-09,10885,i2_uptake_mmol_g
7.5,8.86994652917825e-10,1.0042791709032676e-09,5111,i2_uptake_mmol_g
