element,target_column,ortalama,abs_ortalama,adet
Al,i2_uptake_mmol_g,0.00024712150985806147,0.00025874654096469385,16
Cl,i2_uptake_mmol_g,0.00015121504064858992,0.00016053745383380695,51
C,i2_uptake_mmol_g,0.00012275501894414307,0.00013393463543534334,3467
Co,i2_uptake_mmol_g,8.711391280683532e-05,0.00012012519515436625,251
Zn,i2_uptake_mmol_g,7.729332013037367e-05,0.00011161366997557394,58
Ho,i2_uptake_mmol_g,0.00011069850516448171,0.00011069850516448171,104
O,i2_uptake_mmol_g,7.622770604509454e-05,8.097629304964127e-05,3530
Fe,i2_uptake_mmol_g,4.0020256183672596e-05,6.861675181039234e-05,67
P,i2_uptake_mmol_g,-1.3180174152423322e-05,6.652467130423131e-05,94
Eu,i2_uptake_mmol_g,5.708327632789776e-05,5.708327632789776e-05,27
N,i2_uptake_mmol_g,2.8340928266743504e-05,4.510884526606181e-05,375
S,i2_uptake_mmol_g,-4.2114529871165964e-05,4.4097482373217645e-05,12
Pr,i2_uptake_mmol_g,-2.0940833034425548e-05,4.151138467831414e-05,18
F,i2_uptake_mmol_g,2.7555789061670163e-05,4.043302653011573e-05,53
Li,i2_uptake_mmol_g,3.571029656086466e-05,3.571029656086466e-05,10
Cu,i2_uptake_mmol_g,1.995099304840769e-05,3.208847015083903e-05,93
Cd,i2_uptake_mmol_g,2.840802362698014e-05,2.840802362698014e-05,10
Nd,i2_uptake_mmol_g,-2.62414978351444e-05,2.62414978351444e-05,7
H,i2_uptake_mmol_g,1.5279681681004698e-05,2.568283851082344e-05,1521
Mg,i2_uptake_mmol_g,-2.375818022708125e-05,2.458948131633358e-05,38
Cr,i2_uptake_mmol_g,-1.9926787820168103e-05,1.9926787820168103e-05,20
Er,i2_uptake_mmol_g,8.090739350612758e-06,1.3926876906653196e-05,42
Ni,i2_uptake_mmol_g,7.127381093399973e-06,1.1272889878024685e-05,33
U,i2_uptake_mmol_g,9.997702700085634e-06,1.0804373540433213e-05,12
Tb,i2_uptake_mmol_g,9.015534806167124e-06,9.366665638784373e-06,30
Sr,i2_uptake_mmol_g,7.552021315859747e-06,7.552021315859747e-06,4
Y,i2_uptake_mmol_g,-6.692767365328629e-06,6.7640275014062875e-06,7
Sm,i2_uptake_mmol_g,-5.767272909906751e-06,5.767272909906751e-06,4
Al,kr_uptake_mmol_g,0.00028969204254281067,0.00028969204254281067,16
S,kr_uptake_mmol_g,0.00027249699148039025,0.00027249699148039025,12
Cl,kr_uptake_mmol_g,0.0002299191834660909,0.0002299191834660909,51
Ho,kr_uptake_mmol_g,0.0002259233385232689,0.0002259233385232689,104
Eu,kr_uptake_mmol_g,0.00013447730883921463,0.00013447730883921463,27
C,kr_uptake_mmol_g,0.0001196173947489795,0.00013250917834058078,3467
Co,kr_uptake_mmol_g,9.797160054838142e-05,0.0001228367012516851,251
Zn,kr_uptake_mmol_g,7.705056270487117e-05,0.0001166165520458137,58
Fe,kr_uptake_mmol_g,8.764980050748261e-05,8.7856394512908e-05,67
O,kr_uptake_mmol_g,8.126744334302582e-05,8.785579593345416e-05,3530
Ni,kr_uptake_mmol_g,7.180534165937306e-05,7.188281106760824e-05,33
N,kr_uptake_mmol_g,5.926416626953331e-05,6.062178395166976e-05,375
Nd,kr_uptake_mmol_g,5.626667189062573e-05,5.626667189062573e-05,7
Li,kr_uptake_mmol_g,5.111374725856877e-05,5.111374725856877e-05,10
P,kr_uptake_mmol_g,2.9198555763707886e-05,4.698686723924205e-05,94
Sr,kr_uptake_mmol_g,4.5709640744462376e-05,4.5709640744462376e-05,4
Cd,kr_uptake_mmol_g,4.5479142681870147e-05,4.5479142681870147e-05,10
F,kr_uptake_mmol_g,4.286991414672675e-05,4.3343060047751556e-05,53
U,kr_uptake_mmol_g,4.3303873326294706e-05,4.3303873326294706e-05,12
Cu,kr_uptake_mmol_g,3.6872838524980376e-05,4.1088471828222485e-05,93
Cr,kr_uptake_mmol_g,3.9004828829547476e-05,4.0174889238642206e-05,20
H,kr_uptake_mmol_g,2.856988003887312e-05,3.30856983769688e-05,1521
Er,kr_uptake_mmol_g,2.9360680859859994e-05,2.9680605511963504e-05,42
Pr,kr_uptake_mmol_g,2.8782783930283687e-05,2.8782783930283687e-05,18
Tb,kr_uptake_mmol_g,2.168351160965661e-05,2.23881896279939e-05,30
Mg,kr_uptake_mmol_g,4.85346098936421e-06,5.338711972806203e-06,38
Y,kr_uptake_mmol_g,3.050334612453298e-06,3.4753845901442607e-06,7
Sm,kr_uptake_mmol_g,3.162984569371474e-06,3.162984569371474e-06,4
Ho,xe_kr_selectivity,0.0001238644685005196,0.000703174780937843,104
S,xe_kr_selectivity,-0.0006737421305539707,0.0006737421305539707,12
Al,xe_kr_selectivity,0.0006348156337026012,0.0006348156337026012,16
Zn,xe_kr_selectivity,0.00033566781416307723,0.0003401609297903743,58
C,xe_kr_selectivity,0.00025054542808069174,0.0003092957096069637,3467
Ni,xe_kr_selectivity,2.0326526392829802e-05,0.00028310644668663645,33
Cr,xe_kr_selectivity,0.00022825265442634192,0.000228889756897388,20
Eu,xe_kr_selectivity,0.0002277840430906508,0.0002277840430906508,27
Co,xe_kr_selectivity,0.00016637248363855469,0.00022331195087263344,251
O,xe_kr_selectivity,0.00011413423521011857,0.00021734287628350627,3530
Nd,xe_kr_selectivity,-0.00021679471371628876,0.00021679471371628876,7
P,xe_kr_selectivity,4.7392535288068715e-05,0.00018319738431822518,94
Cl,xe_kr_selectivity,0.0001292312394757484,0.00014060410062840818,51
Fe,xe_kr_selectivity,0.0001153393068056915,0.00011623145338386343,67
Mg,xe_kr_selectivity,-8.22709048676236e-05,8.230864187908082e-05,38
Cu,xe_kr_selectivity,5.935079816933762e-05,6.813633901110962e-05,93
N,xe_kr_selectivity,1.2990960804472707e-05,5.8885041484093866e-05,375
H,xe_kr_selectivity,2.896441545902887e-05,5.4077158842635724e-05,1521
U,xe_kr_selectivity,2.4787733082121122e-05,4.169936702661895e-05,12
Sr,xe_kr_selectivity,3.4283575132576516e-05,3.4283575132576516e-05,4
Pr,xe_kr_selectivity,-3.0152501684218198e-05,3.0152501684218198e-05,18
Er,xe_kr_selectivity,1.5846367833070135e-05,2.8655219758937684e-05,42
Tb,xe_kr_selectivity,1.194282209553421e-05,2.0949941612495118e-05,30
F,xe_kr_selectivity,1.3273775805974199e-05,1.9538841110355656e-05,53
Y,xe_kr_selectivity,-1.2633604796974396e-05,1.352508094701729e-05,7
Li,xe_kr_selectivity,1.3376721491908939e-05,1.3408850989549137e-05,10
Sm,xe_kr_selectivity,-9.955881296264124e-06,9.955881296264124e-06,4
Cd,xe_kr_selectivity,9.80057152446534e-06,9.80057152446534e-06,10
S,xe_uptake_mmol_g,0.0002931350391008891,0.0002931350391008891,12
Al,xe_uptake_mmol_g,0.00027397615372137807,0.00027397615372137807,16
Ho,xe_uptake_mmol_g,0.00026291155868071096,0.00026291155868071096,104
Cl,xe_uptake_mmol_g,0.00022067760118725166,0.00022067760118725166,51
Eu,xe_uptake_mmol_g,0.00017090211918844875,0.00017090211918844875,27
Sr,xe_uptake_mmol_g,0.0001531692687422037,0.0001531692687422037,4
C,xe_uptake_mmol_g,0.00013782609987381136,0.00014146338942282234,3467
U,xe_uptake_mmol_g,0.0001397432068491374,0.0001397432068491374,12
Ni,xe_uptake_mmol_g,0.00011588157034028964,0.0001159646240942245,33
Co,xe_uptake_mmol_g,9.626504536255035e-05,0.0001025380680123967,251
O,xe_uptake_mmol_g,9.969199733476158e-05,0.00010130287608918285,3530
Zn,xe_uptake_mmol_g,9.022039992111065e-05,9.771208823590784e-05,58
Nd,xe_uptake_mmol_g,8.151185336048781e-05,8.151185336048781e-05,7
Fe,xe_uptake_mmol_g,7.770125813182736e-05,7.7917299769687e-05,67
N,xe_uptake_mmol_g,7.488974341019154e-05,7.644078954702611e-05,375
Cr,xe_uptake_mmol_g,6.208909594533907e-05,6.363867473737627e-05,20
P,xe_uptake_mmol_g,4.3690550909259594e-05,4.830327321286027e-05,94
F,xe_uptake_mmol_g,4.5995273456812684e-05,4.646268248351598e-05,53
Li,xe_uptake_mmol_g,4.6378079207443077e-05,4.6378079207443077e-05,10
Er,xe_uptake_mmol_g,4.464570804429968e-05,4.5406798579149055e-05,42
Cd,xe_uptake_mmol_g,4.350968902144814e-05,4.350968902144814e-05,10
Tb,xe_uptake_mmol_g,3.949419025654303e-05,4.0600269039714475e-05,30
Cu,xe_uptake_mmol_g,3.662237058080778e-05,3.9039530454303594e-05,93
H,xe_uptake_mmol_g,3.032543957900193e-05,3.512201716532935e-05,1521
Pr,xe_uptake_mmol_g,3.0232785320549738e-05,3.0232785320549738e-05,18
Mg,xe_uptake_mmol_g,1.9703745139347456e-05,1.9765143337592333e-05,38
Y,xe_uptake_mmol_g,1.5122637624439708e-05,1.6307841909630432e-05,7
Sm,xe_uptake_mmol_g,1.2802044693671633e-05,1.2802044693671633e-05,4
