element,ortalama,std,adet,cekirdek_orani
Tb,0.9911459704960175,0.02189089604942043,18,1.0
S,0.9866578224014653,0.01970770285461683,12,1.0
F,0.9858987064435091,0.02386896381141937,34,1.0
N,0.9851556927976973,0.02342367514292127,186,0.978494623655914
Pr,0.9844305280119136,0.03402157910753578,18,1.0
H,0.9840671790713489,0.02296870630056546,962,0.9636174636174636
P,0.983301586800598,0.023669384656445417,60,0.9333333333333333
Mg,0.983052025443935,0.02576832170333914,26,0.9615384615384616
Y,0.9828510243106664,0.03148238142929764,7,1.0
Er,0.9828486283126112,0.023622735109537107,42,1.0
O,0.9826307857338199,0.025130959499093667,2471,0.9923108053419668
Cu,0.9825494025748547,0.022783524172789223,55,1.0
C,0.9821559877664381,0.025300196988258247,2283,0.9829172141918529
Eu,0.9777682280069624,0.021090916882715603,9,1.0
Co,0.9772257346685339,0.025804227851409203,167,0.9580838323353293
Li,0.9759940161676642,0.020661064661171062,10,1.0
Al,0.9750032658671389,0.029756455275582943,8,1.0
Fe,0.9748858386028685,0.024723748638157173,43,1.0
Ni,0.9737594498433416,0.024584766822636477,29,1.0
Cl,0.9736557544506408,0.029845176723736613,38,0.9736842105263158
Zn,0.9730362625918194,0.026747693130936497,46,1.0
Cr,0.9699946550766435,0.03831951831752576,4,1.0
Ho,0.9653789797130242,0.024522863359314074,80,0.875
U,0.9198922412771678,0.05660716421522377,2,1.0
