sample_id,base_mof_id,mof_name,source,cif_path,formula,is_augmented,defect_fraction,n_removed,metal_substituted_to,functional_group,noise_sigma_A,augmentation_ops,open_metal_site,has_functional_group,pore_volume_cm3_g,void_fraction,gravimetric_surface_area_m2_g,volumetric_surface_area_m2_cm3,lcd_A,pld_A,density_g_cm3,nsites,nelements,mean_atomic_number,mean_atomic_radius_A,mean_electronegativity_diff,metal_fraction
finetune_000000_v00,finetune_000000,ZnCrH18C14(N2O)2,HF_COREMOF_GCMC,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000000_v00.cif,ZnCrH18C14(N2O)2,False,0.0,0,,,0.0,none,False,False,0.09604547402800646,0.10185166600708184,3.4245074118772756e+25,3.6315275517469388e+25,2.2145268798608373,1.2179897839234606,1.0604525308228716,40,6,5.0,0.52125,0.6658995586589784,0.05
finetune_000000_v01,finetune_000000,ZnCrH18C14(N2O)2,HF_COREMOF_GCMC,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000000_v01.cif,ZnCrH18C14(N2O)2,True,0.0,0,,,0.08266541277024628,noise,False,False,0.09604547402800646,0.10185166600708184,3.4245074118772756e+25,3.6315275517469388e+25,2.2145268798608373,1.2179897839234606,1.0604525308228716,40,6,5.0,0.52125,0.6658995586589784,0.05
finetune_000000_v02,finetune_000000,ZnCrH18C14(N2O)2,HF_COREMOF_GCMC,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000000_v02.cif,CrH14C13N6O,True,0.1737838819862168,7,Mg,-NH2,0.09860736628512905,"functional,substitution,defect,noise",False,True,0.22961780483240207,0.20033583592824566,8.187037260269659e+25,7.142986818940134e+25,3.105819474188222,1.7082007108035222,0.8724751814192749,35,5,4.742857142857143,0.5285714285714286,0.6233586447623871,0.02857142857142857
finetune_000000_v03,finetune_000000,ZnCrH18C14(N2O)2,HF_COREMOF_GCMC,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000000_v03.cif,CrCoH17C16(N2O)2,True,0.047323509549803244,1,Co,-CH3,0.0325377619603728,"functional,substitution,defect,noise",False,True,0.04523976436177892,0.05,1.6130266411441542e+25,1.7827531419537286e+25,1.551607569587104,1.2,1.1052223791475533,41,6,5.073170731707317,0.5365853658536585,0.6256840700829417,0.04878048780487805
finetune_000000_v04,finetune_000000,ZnCrH18C14(N2O)2,HF_COREMOF_GCMC,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000000_v04.cif,CrCoH16C12N5O2,True,0.1298527104159805,5,Co,-NH2,0.05889936696493764,"functional,substitution,defect,noise",False,True,0.160859251993535,0.16252463470555023,5.735446738076024e+25,5.794826063324034e+25,2.797412342987562,1.5385767886431592,1.0103530427462273,37,6,5.135135135135135,0.5297297297297296,0.6256840700829417,0.05405405405405406
finetune_000000_v05,finetune_000000,ZnCrH18C14(N2O)2,HF_COREMOF_GCMC,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000000_v05.cif,ZnCrH18C15N3O2,True,0.07122375761326005,2,,-CH3,0.05508691903226898,"noise,defect,functional",False,True,0.08884064706992992,0.09373124182027337,3.167618853942398e+25,3.3419933170863423e+25,2.1244135997092695,1.2,1.0550490671966164,40,6,4.975,0.5225,0.6658995586589784,0.05
finetune_000000_v06,finetune_000000,ZnCrH18C14(N2O)2,HF_COREMOF_GCMC,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000000_v06.cif,ZnCrH18C12(N3O)2,True,0.06029685565331723,2,,-NH2,0.08439358998001961,"functional,defect,noise",False,True,0.11023707981338426,0.11809251438069879,3.930510007942296e+25,4.210596021068134e+25,2.3845589989805527,1.311507449439304,1.0712594580753831,40,6,5.05,0.51875,0.6658995586589784,0.05
finetune_000001_v00,finetune_000001,ErH4(CO2)4,HF_COREMOF_GCMC,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000001_v00.cif,ErH4(CO2)4,False,0.0,0,,,0.0,none,False,False,0.023600667038622233,0.05,9.4800095235009e+24,2.008419827284324e+25,1.5,1.2,2.1185841873950237,34,4,9.411764705882353,0.6088235294117648,0.7877935960643498,0.058823529411764705
finetune_000001_v01,finetune_000001,ErH4(CO2)4,HF_COREMOF_GCMC,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000001_v01.cif,Er2H7C7O15,True,0.1060939052373065,3,,,0.14917014983166077,"defect,noise",False,False,0.03630339395241478,0.07369894757034356,1.4582491242348733e+25,2.960368551005317e+25,1.7982537177351394,1.2,2.0300842303324464,31,4,9.838709677419354,0.6177419354838711,0.7877935960643498,0.06451612903225806
finetune_000001_v02,finetune_000001,ErH4(CO2)4,HF_COREMOF_GCMC,/home/rakeyma/Tüm_çalışmalar/MOF Radyoaktif Gaz Adsorpsiyonu/data/processed/augmented_cif/finetune_000001_v02.cif,Er2H7C7O16,True,0.07421609243618141,2,,,0.13520529567175432,"defect,noise",False,False,0.024051416837306973,0.05,9.661068490065469e+24,2.008419827284324e+25,1.5,1.2,2.0788796077261984,32,4,9.78125,0.6171875,0.7877935960643498,0.0625
