model,target_column,MAE,RMSE,R2,MedianAE,MaxError,PearsonR,n_ornek
GraphGPS,xe_uptake_mmol_g,0.021849421501356405,0.03346546740190728,0.9325236205237736,0.012145086985107592,0.20622682329217812,0.9656740092127748,2100
GraphGPS,kr_uptake_mmol_g,0.017005444608752283,0.02613296313851848,0.9280204653986686,0.009379587834389788,0.149924451625426,0.963384543968631,2100
GraphGPS,xe_kr_selectivity,0.4422481707380073,0.5661053263954277,0.6465355520899834,0.36897957910552215,2.7052302774455645,0.8044804379875974,2100
GraphGPS,i2_uptake_mmol_g,0.014903025194957186,0.022383268271610513,0.9019472157539902,0.008485543061268704,0.1654927056740622,0.9498394064624497,2100
PNA_GNN,xe_uptake_mmol_g,0.021891518397232624,0.03334767585880705,0.9329977904403147,0.012535731723021703,0.20455077204548605,0.9659189568249728,2100
PNA_GNN,kr_uptake_mmol_g,0.017069002574329036,0.0262259224754594,0.927507468033504,0.008978588446747447,0.1484083665813235,0.9631006817673516,2100
PNA_GNN,xe_kr_selectivity,0.436756849181843,0.559146976791269,0.6551714482467446,0.36448134312114844,2.7061140613159953,0.8094809326186141,2100
PNA_GNN,i2_uptake_mmol_g,0.014840363041920114,0.022351061972953598,0.9022291804180658,0.008538683585338745,0.15078470452500337,0.949916015917739,2100
GIN,xe_uptake_mmol_g,0.022034743555866605,0.033939430529537344,0.9305987833655579,0.01269919833337415,0.21755726351352161,0.9647455258873621,2100
GIN,kr_uptake_mmol_g,0.01732621278540595,0.026512803193406285,0.925912827814747,0.009393008099355754,0.15443085677182722,0.9626063190972934,2100
GIN,xe_kr_selectivity,0.43894419159452286,0.5620012608686963,0.6516419620368602,0.36386746041065043,2.744509359324236,0.8075083767167739,2100
GIN,i2_uptake_mmol_g,0.015302869793568109,0.0227437945886751,0.8987631137628991,0.009269185144218003,0.15363431026134222,0.9480998749442974,2100
GAT,xe_uptake_mmol_g,0.022510962423486564,0.03424325694168131,0.9293506596873761,0.013193864451558956,0.2046804289240895,0.964046025406271,2100
GAT,kr_uptake_mmol_g,0.017575682894370278,0.02705109454336632,0.9228738936210965,0.009449366042103648,0.16114684988121658,0.9607205497598711,2100
GAT,xe_kr_selectivity,0.43981649647280335,0.5613473101547258,0.6524521966857891,0.366186796432344,2.701539712829203,0.8082258217025464,2100
GAT,i2_uptake_mmol_g,0.015414815474156386,0.022836720782179458,0.8979341599960609,0.009314540750876158,0.15183113778632418,0.9476770365240517,2100
GatedGCN,xe_uptake_mmol_g,0.022075546672248262,0.033641447234782546,0.9318120988158136,0.012663186055515701,0.21098127510333825,0.9653581259363785,2100
GatedGCN,kr_uptake_mmol_g,0.01726043299886244,0.02644925803794187,0.9262675424015533,0.00938024382900389,0.14698207141121272,0.9624465820993989,2100
GatedGCN,xe_kr_selectivity,0.4368474105425937,0.5582272384089749,0.6563049291614518,0.36127685248437835,2.6796577132387362,0.8102297212795845,2100
GatedGCN,i2_uptake_mmol_g,0.015024186953354463,0.022645043889316246,0.8996403209462188,0.008784661235908004,0.15366339903482917,0.9487347475122373,2100
DeeperGCN,xe_uptake_mmol_g,0.021783180932493675,0.03339220283812671,0.932818743613428,0.01204397190050295,0.20594632076197922,0.965847516812943,2100
DeeperGCN,kr_uptake_mmol_g,0.01694637846923996,0.026004581875607433,0.9287259441604399,0.009092098790897396,0.15262965965295067,0.9637352318459671,2100
DeeperGCN,xe_kr_selectivity,0.4391135889903592,0.5616040846330836,0.6521341696286521,0.36782355538628275,2.6603801987907083,0.808133120255449,2100
DeeperGCN,i2_uptake_mmol_g,0.01494372491955359,0.022438273443259243,0.9014647091683259,0.008537439538419195,0.15009049367543031,0.9496019036244882,2100
ECC,xe_uptake_mmol_g,0.021963032982796133,0.03362674434612622,0.931871688406545,0.01265045768692099,0.2171894816507035,0.965776277689118,2100
ECC,kr_uptake_mmol_g,0.01729254656955343,0.02689541860950294,0.9237590430253223,0.009305161780541298,0.164471324140736,0.9619326552864113,2100
ECC,xe_kr_selectivity,0.4415501450655708,0.5653349077750177,0.6474969643257453,0.3694610188373302,2.6820906942741294,0.8049463593232007,2100
ECC,i2_uptake_mmol_g,0.01495605737018233,0.02239101915329184,0.9018792965291765,0.008542958531346909,0.15206616972448408,0.9496816704722243,2100
TFN,xe_uptake_mmol_g,0.021930655426076983,0.03359755535374561,0.9319899117865796,0.012146428715350892,0.21093698210415435,0.9653983534670774,2100
TFN,kr_uptake_mmol_g,0.01710966687397958,0.0263345572165587,0.9269056575118472,0.00920886902939999,0.1484998313481265,0.9628318580451707,2100
TFN,xe_kr_selectivity,0.4383405802316283,0.5612390901587181,0.6525861885860144,0.36668342213518024,2.700004439760061,0.8085335099104125,2100
TFN,i2_uptake_mmol_g,0.014951306907141254,0.02254578439104693,0.9005182012541232,0.008742005408814493,0.1533437815011272,0.9491594633556256,2100
EGNN,xe_uptake_mmol_g,0.022008262811301662,0.03368317915302358,0.9316428209083798,0.012295706876820564,0.2082442112687528,0.9652322698890985,2100
EGNN,kr_uptake_mmol_g,0.01705880953538499,0.02628348151416355,0.9271889145610519,0.00909407756262106,0.14884603748686542,0.9629307503700568,2100
EGNN,xe_kr_selectivity,0.43604812897918666,0.5582581852826732,0.656266820728032,0.3626857499050682,2.64387822077604,0.8102435057939379,2100
EGNN,i2_uptake_mmol_g,0.014927144847595997,0.02239532639995821,0.9018415429352349,0.0085780424321516,0.15395918172525552,0.9498470571925023,2100
SE3_Transformer,xe_uptake_mmol_g,0.021822449054819597,0.03334707702563327,0.9330001967720615,0.012698228757492082,0.19641640654835996,0.96604946118913,2100
SE3_Transformer,kr_uptake_mmol_g,0.017552883492080975,0.026693148824309613,0.9249014869254034,0.009793104059355254,0.1489183139662668,0.9618542687874271,2100
SE3_Transformer,xe_kr_selectivity,0.4357732285221598,0.5570987000348631,0.6576931846193355,0.36604700632227205,2.638425182600213,0.8115806392490847,2100
SE3_Transformer,i2_uptake_mmol_g,0.014789745758632794,0.02252916683091731,0.9006647950041269,0.008248016163501348,0.16581303899498678,0.9494082249837844,2100
DeeperGCN,overall,0.1231967183279116,0.16085978569751924,0.8537858916427115,0.09937426640402557,0.7922616682202671,0.9218294431347118,8400
ECC,overall,0.12394044549702568,0.1620620224709847,0.8512517480716972,0.09998989920903484,0.8039544174475133,0.9205842406927386,8400
EGNN,overall,0.12251058654336733,0.16015504308745465,0.8542350247831747,0.09816339419416535,0.7887319128142285,0.9220633958113988,8400
GAT,overall,0.12382948931620415,0.16136959560548822,0.8506527274975806,0.0995361419192207,0.8047995323552084,0.9201673583481851,8400
GIN,overall,0.12340200443234088,0.16129932229507876,0.851729171745016,0.09880721299689958,0.8175329474677318,0.9207400241614316,8400
GatedGCN,overall,0.1228018942917647,0.1602407468927539,0.8535062228312593,0.09802623590120148,0.7978211146970291,0.9216922942068998,8400
GraphGPS,overall,0.1240015155107683,0.162021756301866,0.8522567134416038,0.09974744924657206,0.8067185645093077,0.9208445994078632,8400
PNA_GNN,overall,0.12263943329883119,0.16026790927462226,0.8544764717846571,0.0986335867190641,0.802464476116952,0.9221041467821693,8400
SE3_Transformer,overall,0.12248457670692328,0.1599170231789308,0.8540649158302318,0.09919658882565519,0.7873932355274567,0.9222231485523567,8400
TFN,overall,0.12308305235970653,0.16092924678001733,0.8529999897846411,0.0991951813221864,0.8031962586783673,0.9214807961945716,8400
